,NAME,Date,Obj1,MAGERR,FILTER,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AIRMASS,GROUP,CHART,NOTES
0,BH Lyn,2458558.544351852,15.331,0.047,CV,NO,STD,000-BJZ-142,13.546,000-BJZ-143,14.273,1.058,,4145or,na
1,BH Lyn,2458558.5455555557,15.229000000000001,0.038,CV,NO,STD,000-BJZ-142,13.424000000000001,000-BJZ-143,14.144,1.056,,4145or,na
2,BH Lyn,2458558.54675926,15.305,0.027999999999999997,CV,NO,STD,000-BJZ-142,13.154000000000002,000-BJZ-143,13.87,1.054,,4145or,na
3,BH Lyn,2458558.547962963,15.265999999999998,0.025,CV,NO,STD,000-BJZ-142,13.12,000-BJZ-143,13.874,1.053,,4145or,na
4,BH Lyn,2458558.549178241,15.243,0.025,CV,NO,STD,000-BJZ-142,13.130999999999998,000-BJZ-143,13.841,1.051,,4145or,na
5,BH Lyn,2458558.5503819445,15.285,0.033,CV,NO,STD,000-BJZ-142,13.304,000-BJZ-143,14.012,1.05,,4145or,na
6,BH Lyn,2458558.551585648,15.26,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.152999999999999,000-BJZ-143,13.860999999999999,1.048,,4145or,na
7,BH Lyn,2458558.5528009254,15.307,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.174000000000001,000-BJZ-143,13.89,1.047,,4145or,na
8,BH Lyn,2458558.554016204,15.263,0.031,CV,NO,STD,000-BJZ-142,13.267999999999999,000-BJZ-143,13.958,1.045,,4145or,na
9,BH Lyn,2458558.590335648,15.110999999999999,0.02,CV,NO,STD,000-BJZ-142,13.023,000-BJZ-143,13.725,1.0170000000000001,,4145or,na
10,BH Lyn,2458558.5915393517,15.069,0.018000000000000002,CV,NO,STD,000-BJZ-142,13.04,000-BJZ-143,13.749,1.016,,4145or,na
11,BH Lyn,2458558.592754629,15.08,0.019,CV,NO,STD,000-BJZ-142,13.013,000-BJZ-143,13.757,1.016,,4145or,na
12,BH Lyn,2458558.593969907,15.120999999999999,0.019,CV,NO,STD,000-BJZ-142,13.034,000-BJZ-143,13.751,1.015,,4145or,na
13,BH Lyn,2458558.595173612,15.186,0.02,CV,NO,STD,000-BJZ-142,13.029000000000002,000-BJZ-143,13.735,1.015,,4145or,na
14,BH Lyn,2458558.5963888885,15.120999999999999,0.02,CV,NO,STD,000-BJZ-142,13.025,000-BJZ-143,13.745999999999999,1.015,,4145or,na
