,Date,Obj1,Err,Star1,Star2,Star3,Airm, Filter,Group,SkyBri.,Expo time,SnapShots,LimitingMagnitude
0,2458544.42946,15.157,0.017,13.772,14.399,14.982,1.03,CV,na,20.03,60.0,1.0,18.6
1,2458544.4308,15.191,0.016,13.772,14.435,14.979,1.03,CV,na,20.09,60.0,1.0,18.5
2,2458544.4322,15.239,0.017,13.772,14.43,15.013,1.03,CV,na,20.12,60.0,1.0,18.9
3,2458544.43359,15.349,0.018,13.772,14.425,14.977,1.03,CV,na,20.19,60.0,1.0,19.0
4,2458544.43491,15.342,0.017,13.772,14.446,14.992,1.03,CV,na,20.2,60.0,1.0,19.0
5,2458544.43631,15.411,0.017,13.772,14.393,14.984,1.03,CV,na,20.23,60.0,1.0,18.8
6,2458544.43766,15.609,0.019,13.772,14.428,14.995,1.03,CV,na,20.3,60.0,1.0,18.6
7,2458544.43905,15.819,0.024,13.772,14.427,14.969,1.03,CV,na,20.27,60.0,1.0,19.0
8,2458544.44037,16.117,0.027,13.772,14.429,14.989,1.03,CV,na,20.34,60.0,1.0,19.0
9,2458544.44171,16.351,0.035,13.772,14.436,14.986,1.03,CV,na,20.28,60.0,1.0,19.0
10,2458544.44309,16.432,0.04,13.772,14.416,14.981,1.03,CV,na,20.21,60.0,1.0,18.9
11,2458544.44442,16.537,0.047,13.772,14.408,14.985,1.03,CV,na,20.16,60.0,1.0,18.5
12,2458544.44582,16.42,0.049,13.772,14.449,14.967,1.03,CV,na,19.9,60.0,1.0,18.7
13,2458544.44718,16.269,0.041,13.772,14.43,14.989,1.03,CV,na,20.06,60.0,1.0,18.7
14,2458544.44851,16.021,0.034,13.772,14.426,14.966,1.03,CV,na,20.02,60.0,1.0,18.6
15,2458544.4499,15.803,0.025,13.772,14.425,14.987,1.03,CV,na,20.11,60.0,1.0,18.6
16,2458544.45123,15.723,0.023,13.772,14.425,14.982,1.03,CV,na,20.15,60.0,1.0,18.5
17,2458544.45262,15.491,0.02,13.772,14.423,14.971,1.03,CV,na,20.09,60.0,1.0,18.8
18,2458544.45396,15.407,0.019,13.772,14.4,14.964,1.03,CV,na,20.08,60.0,1.0,18.8
19,2458544.45529,15.315,0.018,13.772,14.437,15.018,1.03,CV,na,20.04,60.0,1.0,18.7
20,2458544.45666,15.231,0.018,13.772,14.428,15.018,1.04,CV,na,20.0,60.0,1.0,18.7
21,2458544.45799,15.182,0.018,13.772,14.442,15.01,1.04,CV,na,20.01,60.0,1.0,18.3
22,2458544.45939,15.114,0.016,13.772,14.434,14.988,1.04,CV,na,19.96,60.0,1.0,18.6
23,2458544.46073,15.062,0.016,13.772,14.404,14.984,1.04,CV,na,19.95,60.0,1.0,18.5
24,2458544.46207,14.971,0.014,13.772,14.418,14.967,1.04,CV,na,20.04,60.0,1.0,18.7
25,2458544.46348,15.132,0.014,13.772,14.43,14.966,1.04,CV,na,20.16,60.0,1.0,18.8
26,2458544.46483,15.189,0.014,13.772,14.433,15.009,1.04,CV,na,20.24,60.0,1.0,18.6
27,2458544.46622,15.168,0.014,13.772,14.418,14.975,1.04,CV,na,20.33,60.0,1.0,18.9
28,2458544.46755,15.15,0.013,13.772,14.421,14.976,1.04,CV,na,20.4,60.0,1.0,19.0
29,2458544.46888,15.196,0.013,13.772,14.425,14.988,1.05,CV,na,20.46,60.0,1.0,19.1
30,2458544.47029,15.173,0.012,13.772,14.425,14.982,1.05,CV,na,20.48,60.0,1.0,19.1
31,2458544.47162,15.203,0.013,13.772,14.427,14.975,1.05,CV,na,20.44,60.0,1.0,18.6
32,2458544.473,15.247,0.018,13.772,14.413,15.008,1.05,CV,na,20.47,60.0,1.0,19.2
33,2458544.47433,15.304,0.02,13.772,14.403,15.011,1.05,CV,na,20.42,60.0,1.0,19.1
34,2458544.47579,15.284,0.016,13.772,14.423,14.986,1.05,CV,na,20.34,60.0,1.0,19.0
