,NAME,Date,Obj1,MAGERR,FILTER,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AIRMASS,GROUP,CHART,NOTES
0,BH Lyn,2458553.531354166,15.235999999999999,0.037000000000000005,CV,NO,STD,000-BJZ-142,13.434000000000001,000-BJZ-143,14.112,1.103,,4145or,na
1,BH Lyn,2458553.5325578703,15.26,0.03,CV,NO,STD,000-BJZ-142,13.305,000-BJZ-143,14.007,1.1,,4145or,na
2,BH Lyn,2458553.533773148,15.247,0.027999999999999997,CV,NO,STD,000-BJZ-142,13.258,000-BJZ-143,13.960999999999999,1.0979999999999999,,4145or,na
3,BH Lyn,2458553.536203704,15.274000000000001,0.027999999999999997,CV,NO,STD,000-BJZ-142,13.26,000-BJZ-143,13.957,1.093,,4145or,na
4,BH Lyn,2458553.5374074075,15.295,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.27,000-BJZ-143,13.97,1.091,,4145or,na
5,BH Lyn,2458553.538611111,15.395,0.028999999999999998,CV,NO,STD,000-BJZ-142,13.222999999999999,000-BJZ-143,13.933,1.089,,4145or,na
6,BH Lyn,2458553.539826389,15.392000000000001,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.193,000-BJZ-143,13.864,1.087,,4145or,na
7,BH Lyn,2458553.541041666,15.334000000000001,0.023,CV,NO,STD,000-BJZ-142,13.158,000-BJZ-143,13.839,1.084,,4145or,na
8,BH Lyn,2458553.5422453703,15.239,0.023,CV,NO,STD,000-BJZ-142,13.207,000-BJZ-143,13.921,1.082,,4145or,na
9,BH Lyn,2458553.546689815,15.212,0.023,CV,NO,STD,000-BJZ-142,13.189,000-BJZ-143,13.895999999999999,1.075,,4145or,na
10,BH Lyn,2458553.5478935186,15.152999999999999,0.02,CV,NO,STD,000-BJZ-142,13.175999999999998,000-BJZ-143,13.864,1.073,,4145or,na
11,BH Lyn,2458553.5490972223,15.16,0.022000000000000002,CV,NO,STD,000-BJZ-142,13.242,000-BJZ-143,13.94,1.071,,4145or,na
12,BH Lyn,2458553.550300926,15.049000000000001,0.022000000000000002,CV,NO,STD,000-BJZ-142,13.36,000-BJZ-143,14.068,1.069,,4145or,na
13,BH Lyn,2458553.5515046297,15.106,0.02,CV,NO,STD,000-BJZ-142,13.205,000-BJZ-143,13.887,1.067,,4145or,na
14,BH Lyn,2458553.5527199074,15.128,0.02,CV,NO,STD,000-BJZ-142,13.23,000-BJZ-143,13.927999999999999,1.065,,4145or,na
15,BH Lyn,2458553.5539351846,15.140999999999998,0.022000000000000002,CV,NO,STD,000-BJZ-142,13.264000000000001,000-BJZ-143,13.934000000000001,1.064,,4145or,na
16,BH Lyn,2458553.555138889,15.195,0.023,CV,NO,STD,000-BJZ-142,13.254000000000001,000-BJZ-143,13.943,1.062,,4145or,na
17,BH Lyn,2458553.5563541665,15.202,0.021,CV,NO,STD,000-BJZ-142,13.187999999999999,000-BJZ-143,13.915999999999999,1.06,,4145or,na
18,BH Lyn,2458553.5575694446,15.202,0.021,CV,NO,STD,000-BJZ-142,13.164000000000001,000-BJZ-143,13.898,1.058,,4145or,na
19,BH Lyn,2458553.5587847224,15.187999999999999,0.022000000000000002,CV,NO,STD,000-BJZ-142,13.193,000-BJZ-143,13.913,1.057,,4145or,na
20,BH Lyn,2458553.559988426,15.213,0.022000000000000002,CV,NO,STD,000-BJZ-142,13.19,000-BJZ-143,13.884,1.055,,4145or,na
21,BH Lyn,2458553.561203704,15.243,0.022000000000000002,CV,NO,STD,000-BJZ-142,13.182,000-BJZ-143,13.892000000000001,1.054,,4145or,na
22,BH Lyn,2458553.5624074074,15.312999999999999,0.025,CV,NO,STD,000-BJZ-142,13.239,000-BJZ-143,13.946,1.052,,4145or,na
23,BH Lyn,2458553.563611111,15.234000000000002,0.023,CV,NO,STD,000-BJZ-142,13.243,000-BJZ-143,13.969000000000001,1.051,,4145or,na
24,BH Lyn,2458553.564814815,15.251,0.024,CV,NO,STD,000-BJZ-142,13.184000000000001,000-BJZ-143,13.899000000000001,1.0490000000000002,,4145or,na
25,BH Lyn,2458553.5660185185,15.225999999999999,0.022000000000000002,CV,NO,STD,000-BJZ-142,13.203,000-BJZ-143,13.92,1.048,,4145or,na
26,BH Lyn,2458553.5672337958,15.31,0.025,CV,NO,STD,000-BJZ-142,13.193,000-BJZ-143,13.902999999999999,1.046,,4145or,na
27,BH Lyn,2458553.5684375,15.32,0.025,CV,NO,STD,000-BJZ-142,13.208,000-BJZ-143,13.929,1.045,,4145or,na
28,BH Lyn,2458553.5696527776,15.37,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.231,000-BJZ-143,13.981,1.043,,4145or,na
29,BH Lyn,2458553.5708564813,15.323,0.026000000000000002,CV,NO,STD,000-BJZ-142,13.277999999999999,000-BJZ-143,13.985,1.042,,4145or,na
30,BH Lyn,2458553.572071759,15.315,0.024,CV,NO,STD,000-BJZ-142,13.24,000-BJZ-143,13.964,1.041,,4145or,na
31,BH Lyn,2458553.5732870367,15.265999999999998,0.024,CV,NO,STD,000-BJZ-142,13.253,000-BJZ-143,13.933,1.04,,4145or,na
32,BH Lyn,2458553.574502315,15.308,0.025,CV,NO,STD,000-BJZ-142,13.253,000-BJZ-143,13.958,1.038,,4145or,na
33,BH Lyn,2458553.5757175926,15.26,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.29,000-BJZ-143,13.985999999999999,1.037,,4145or,na
34,BH Lyn,2458553.5769212963,15.255,0.023,CV,NO,STD,000-BJZ-142,13.206,000-BJZ-143,13.902000000000001,1.036,,4145or,na
35,BH Lyn,2458553.578136574,15.173,0.02,CV,NO,STD,000-BJZ-142,13.19,000-BJZ-143,13.888,1.035,,4145or,na
36,BH Lyn,2458553.5793402777,15.265,0.023,CV,NO,STD,000-BJZ-142,13.222999999999999,000-BJZ-143,13.922,1.034,,4145or,na
37,BH Lyn,2458553.5805555554,15.229000000000001,0.023,CV,NO,STD,000-BJZ-142,13.254000000000001,000-BJZ-143,13.939,1.033,,4145or,na
38,BH Lyn,2458553.5817708327,15.204,0.021,CV,NO,STD,000-BJZ-142,13.228,000-BJZ-143,13.933,1.031,,4145or,na
39,BH Lyn,2458553.582974537,15.207,0.022000000000000002,CV,NO,STD,000-BJZ-142,13.218,000-BJZ-143,13.923,1.03,,4145or,na
40,BH Lyn,2458553.5841898154,15.145999999999999,0.021,CV,NO,STD,000-BJZ-142,13.203,000-BJZ-143,13.902000000000001,1.0290000000000001,,4145or,na
41,BH Lyn,2458553.5853935187,15.206,0.022000000000000002,CV,NO,STD,000-BJZ-142,13.235999999999999,000-BJZ-143,13.974,1.028,,4145or,na
