,Date,Obj1,Err,Star1,Star2,Star3,Airm, Filter,Group,SkyBri.,Expo time,SnapShots,LimitingMagnitude
0,2458551.41296,15.074,0.011,13.772,14.421,14.972,1.03,CV,na,20.21,60.0,1.0,19.2
1,2458551.41376,15.071,0.011,13.772,14.414,14.968,1.03,CV,na,20.22,60.0,1.0,19.1
2,2458551.41587,15.109,0.011,13.772,14.428,14.965,1.03,CV,na,20.21,60.0,1.0,18.7
3,2458551.41729,15.116,0.011,13.772,14.443,14.965,1.03,CV,na,20.22,60.0,1.0,18.6
4,2458551.41818,15.14,0.012,13.772,14.421,14.995,1.03,CV,na,20.17,60.0,1.0,19.0
5,2458551.41899,15.182,0.015,13.772,14.424,14.991,1.03,CV,na,20.12,60.0,1.0,18.8
6,2458551.41979,15.213,0.016,13.772,14.424,14.972,1.03,CV,na,20.1,60.0,1.0,18.8
7,2458551.42059,15.247,0.017,13.772,14.417,14.974,1.03,CV,na,20.18,60.0,1.0,18.8
8,2458551.42138,15.248,0.017,13.772,14.427,14.992,1.03,CV,na,20.15,60.0,1.0,18.8
9,2458551.42226,15.226,0.014,13.772,14.42,14.972,1.03,CV,na,20.14,60.0,1.0,18.8
10,2458551.42304,15.242,0.016,13.772,14.427,14.977,1.03,CV,na,20.1,60.0,1.0,18.8
11,2458551.42383,15.21,0.017,13.772,14.428,14.997,1.03,CV,na,20.13,60.0,1.0,18.8
12,2458551.42463,15.215,0.016,13.772,14.428,14.99,1.03,CV,na,20.12,60.0,1.0,18.9
13,2458551.42543,15.247,0.017,13.772,14.435,14.97,1.03,CV,na,20.11,60.0,1.0,18.8
14,2458551.42631,15.274,0.015,13.772,14.416,14.962,1.03,CV,na,20.11,60.0,1.0,18.7
15,2458551.42711,15.261,0.018,13.772,14.426,14.963,1.03,CV,na,20.09,60.0,1.0,18.7
16,2458551.42789,15.269,0.018,13.772,14.411,15.018,1.03,CV,na,20.12,60.0,1.0,18.8
17,2458551.42869,15.317,0.018,13.772,14.444,14.974,1.03,CV,na,20.15,60.0,1.0,18.8
18,2458551.42949,15.373,0.019,13.772,14.427,14.981,1.03,CV,na,20.15,60.0,1.0,18.8
19,2458551.43035,15.335,0.015,13.772,14.409,14.954,1.03,CV,na,20.16,60.0,1.0,18.8
20,2458551.43115,15.357,0.017,13.772,14.417,14.981,1.03,CV,na,20.18,60.0,1.0,18.9
21,2458551.43194,15.367,0.018,13.772,14.434,14.963,1.03,CV,na,20.23,60.0,1.0,18.9
22,2458551.43275,15.379,0.018,13.772,14.408,14.96,1.03,CV,na,20.23,60.0,1.0,18.8
23,2458551.43355,15.329,0.016,13.772,14.422,14.988,1.03,CV,na,20.16,60.0,1.0,18.8
24,2458551.43441,15.274,0.014,13.772,14.413,14.945,1.03,CV,na,20.16,60.0,1.0,18.8
25,2458551.43521,15.247,0.016,13.772,14.429,15.003,1.03,CV,na,20.18,60.0,1.0,18.8
